nu_cnes,nu_ine,quadrimestre,distrito,distrito_desc,no_unidade_saude,no_equipe,realizado_1,previsto_1,realizado_2,previsto_2,realizado_3,previsto_3,realizado_4,previsto_4,realizado_5,previsto_5,realizado_6,previsto_6,realizado_7,previsto_7
3639827,0002399652,2024.1,DS 8,Distrito Sanitário VIII,Us 154 Usf Rio Pajeu,RIO DO PAJEU 4,4.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,11.0,1.0
0022349,0000153877,2023.3,DS 4,Distrito Sanitário IV,Us 235 Usf Roda de Fogo Sinos,RODA DE FOGO - SINOS I,7.0,7.0,13.0,13.0,9.0,9.0,233.0,809.0,4.0,333.0,5.0,11.0,278.0,569.0
0022233,0001727958,2023.3,DS 2,Distrito Sanitário II,Us 226 Usf Chao de Estrelas,SBM1 CHAO DE ESTRELA I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5356881,0000155837,2023.3,DS 2,Distrito Sanitário II,Us 339 Usf Alto do Capitao,ALTO DO CAPITAO I,10.0,10.0,8.0,8.0,5.0,5.0,88.0,594.0,16.0,197.0,2.0,8.0,158.0,461.0
3703223,0000155705,2023.3,DS 4,Distrito Sanitário IV,Us 331 Usf Prof Amaury de Medeiros,UR 7 VARZEA / BREGA E CHIQUE,4.0,4.0,3.0,3.0,5.0,5.0,98.0,485.0,6.0,166.0,2.0,5.0,164.0,399.0
0026212,0000154202,2023.3,DS 3,Distrito Sanitário III,Us 259 Usf Sitio Sao Braz,SITIO SAO BRAZ,12.0,12.0,13.0,13.0,16.0,16.0,93.0,739.0,58.0,272.0,2.0,10.0,186.0,528.0
6691285,0000156108,2023.3,DS 8,Distrito Sanitário VIII,Us 373 Usf Cidade Operaria,CIDADE OPERARIA EQUIPE II,14.0,14.0,16.0,16.0,8.0,8.0,112.0,652.0,11.0,242.0,5.0,14.0,186.0,503.0
5139155,0000155721,2023.3,DS 3,Distrito Sanitário III,Us 336 Usf Uniao das Vilas,UNIAO DAS VILAS,1.0,1.0,2.0,2.0,3.0,3.0,129.0,551.0,6.0,201.0,0.0,3.0,111.0,52.0
0022373,0000153923,2023.3,DS 4,Distrito Sanitário IV,Us 224 Usf Carangueijo,CARANGUEIJO,6.0,6.0,7.0,7.0,11.0,11.0,112.0,474.0,19.0,152.0,1.0,7.0,140.0,445.0
0022306,0000153818,2023.3,DS 4,Distrito Sanitário IV,Us 225 Usf Skylab II,ABENCOADA POR DEUS,6.0,6.0,6.0,6.0,4.0,4.0,90.0,480.0,21.0,173.0,3.0,11.0,174.0,386.0
0022306,0000153796,2023.3,DS 4,Distrito Sanitário IV,Us 225 Usf Skylab II,SKYLAB I,3.0,3.0,3.0,3.0,4.0,4.0,137.0,749.0,1.0,220.0,3.0,3.0,109.0,275.0
0022268,0001728113,2023.3,DS 2,Distrito Sanitário II,Us 244 Usf Prof Antonio Francisco Areias,SBM1 FRANCISCO AREIAS I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026328,0001801104,2023.3,DS 2,Distrito Sanitário II,Us 262 Usf Jose Severiano da Silva,SBM1 JOSE SEVERIANO I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0001244,0000153133,2023.3,DS 7,Distrito Sanitário VII,Us 175 Usf Dr Diogenes Cavalcanti,ALTO DO RESERVATORIO,10.0,10.0,11.0,11.0,11.0,11.0,379.0,615.0,79.0,234.0,3.0,11.0,219.0,527.0
0026328,0000154253,2023.3,DS 2,Distrito Sanitário II,Us 262 Usf Jose Severiano da Silva,JOSE SEVERIANO II,9.0,9.0,13.0,13.0,12.0,12.0,155.0,634.0,40.0,271.0,4.0,15.0,157.0,497.0
0028088,0000154466,2023.3,DS 2,Distrito Sanitário II,Us 273 Usf Bianor Teodosio,BIANOR TEODOSIO I,12.0,12.0,11.0,11.0,5.0,5.0,50.0,631.0,23.0,330.0,1.0,5.0,194.0,408.0
0028673,0000154571,2023.3,DS 7,Distrito Sanitário VII,Us 279 Usf Passarinho Alto,PASSARINHO ALTO,4.0,4.0,3.0,3.0,4.0,4.0,54.0,586.0,19.0,220.0,3.0,5.0,150.0,374.0
0028096,0000154490,2023.3,DS 2,Distrito Sanitário II,Us 274 Usf TIA Regina,TIA REGINA I,9.0,9.0,10.0,10.0,2.0,2.0,133.0,779.0,38.0,273.0,4.0,14.0,223.0,681.0
0028649,0001887254,2023.3,DS 2,Distrito Sanitário II,Us 276 Usf Upinha Dia Alto do Pascoal,SBM2 ALTO DO PASCOAL II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0028649,0000154520,2023.3,DS 2,Distrito Sanitário II,Us 276 Usf Upinha Dia Alto do Pascoal,ALTO DO PASCOAL I,10.0,10.0,9.0,9.0,11.0,11.0,188.0,707.0,59.0,271.0,5.0,7.0,272.0,670.0
0029122,0002269198,2023.3,DS 2,Distrito Sanitário II,Us 286 Usf Irma Terezinha,SBM1 IRMA TEREZINHA II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026328,0000154245,2023.3,DS 2,Distrito Sanitário II,Us 262 Usf Jose Severiano da Silva,JOSE SEVERIANO I,6.0,6.0,10.0,10.0,11.0,11.0,172.0,771.0,48.0,274.0,7.0,22.0,155.0,532.0
7524501,0001554891,2023.3,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY II,7.0,7.0,2.0,2.0,6.0,6.0,27.0,667.0,0.0,248.0,3.0,11.0,237.0,529.0
5356881,0000155829,2023.3,DS 2,Distrito Sanitário II,Us 339 Usf Alto do Capitao,ALTO DO CAPITAO II,8.0,8.0,10.0,10.0,14.0,14.0,90.0,396.0,43.0,161.0,7.0,12.0,138.0,375.0
7524501,0001539663,2023.3,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY III,9.0,9.0,6.0,6.0,8.0,8.0,65.0,604.0,26.0,262.0,1.0,8.0,174.0,377.0
0026328,0000152587,2023.3,DS 2,Distrito Sanitário II,Us 262 Usf Jose Severiano da Silva,JOSE SEVERIANO III,4.0,4.0,7.0,7.0,7.0,7.0,125.0,579.0,26.0,194.0,4.0,6.0,207.0,561.0
6691285,0000156094,2023.3,DS 8,Distrito Sanitário VIII,Us 373 Usf Cidade Operaria,CIDADE OPERARIA EQUIPE III,5.0,5.0,0.0,0.0,9.0,9.0,41.0,564.0,16.0,172.0,2.0,5.0,75.0,374.0
0022276,0000153702,2023.3,DS 7,Distrito Sanitário VII,Us 231 Usf Corrego da Bica,CORREGO DA BICA IV,1.0,1.0,0.0,0.0,2.0,2.0,41.0,330.0,11.0,90.0,2.0,5.0,33.0,278.0
7946651,0001601873,2023.3,DS 2,Distrito Sanitário II,Us 401 Usf Upinha Dia Governador Eduardo Campos,EDUARDO CAMPOS III,12.0,12.0,16.0,16.0,17.0,17.0,80.0,790.0,14.0,262.0,2.0,5.0,161.0,505.0
0028649,0000154555,2023.3,DS 2,Distrito Sanitário II,Us 276 Usf Upinha Dia Alto do Pascoal,ALTO DO PASCOAL III,13.0,13.0,4.0,4.0,16.0,16.0,134.0,652.0,75.0,256.0,7.0,18.0,267.0,618.0
6008984,0000155993,2023.3,DS 4,Distrito Sanitário IV,Us 349 Usf Casarao do Cordeiro,CASARAO I,6.0,6.0,6.0,6.0,10.0,10.0,54.0,352.0,13.0,142.0,3.0,5.0,98.0,373.0
7524501,0001557769,2024.1,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY I,7.0,7.0,1.0,1.0,7.0,7.0,16.0,384.0,3.0,235.0,2.0,8.0,144.0,399.0
6916325,0000156124,2023.3,DS 4,Distrito Sanitário IV,Us 378 Usf Jardim Teresopolis,JARDIM TERESOPOLIS,4.0,4.0,3.0,3.0,8.0,8.0,167.0,616.0,56.0,213.0,3.0,12.0,183.0,391.0
0001414,0000153257,2023.3,DS 5,Distrito Sanitário V,Us 117 Usf Gaspar Regueira Costa,GASPAR REG COSTA AREIAS CAPUA,4.0,4.0,1.0,1.0,1.0,1.0,32.0,373.0,12.0,82.0,0.0,1.0,65.0,289.0
0001414,0000153230,2024.1,DS 5,Distrito Sanitário V,Us 117 Usf Gaspar Regueira Costa,GASPAR REGUEIRA COSTA BARRO I,0.0,0.0,1.0,1.0,0.0,0.0,11.0,242.0,3.0,24.0,0.0,0.0,30.0,166.0
0029130,0000154768,2023.3,DS 1,Distrito Sanitário I,Us 285 Usf Sao Jose do Coque,SAO JOSE DO COQUE I,6.0,6.0,13.0,13.0,11.0,11.0,66.0,496.0,11.0,191.0,3.0,7.0,85.0,340.0
5392136,0000155918,2023.3,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,DJALMA DE HOLANDA - EQUIPE III,5.0,5.0,1.0,1.0,4.0,4.0,84.0,498.0,1.0,175.0,2.0,4.0,120.0,328.0
0002011,0002172305,2023.3,DS 3,Distrito Sanitário III,Us 171 Usf Joaquim Costa Carvalho,ALTO DO MANDU 1,4.0,4.0,6.0,6.0,5.0,5.0,192.0,784.0,63.0,260.0,2.0,7.0,91.0,361.0
0020567,0000153524,2023.3,DS 3,Distrito Sanitário III,Us 182 Upinha Usf Padre Jose Edwaldo Gomes,POCO DA PANELA,5.0,5.0,7.0,7.0,8.0,8.0,279.0,824.0,99.0,312.0,7.0,11.0,281.0,645.0
0001112,0000153028,2023.3,DS 5,Distrito Sanitário V,Us 186 Usf Jardim Uchoa,JARDIM UCHOA I,3.0,3.0,0.0,0.0,1.0,1.0,155.0,628.0,54.0,202.0,5.0,7.0,66.0,300.0
0022276,0000153699,2023.3,DS 7,Distrito Sanitário VII,Us 231 Usf Corrego da Bica,CORREGO DA BICA II,3.0,3.0,4.0,4.0,3.0,3.0,10.0,354.0,14.0,135.0,3.0,9.0,74.0,267.0
0022195,0000153567,2023.3,DS 1,Distrito Sanitário I,Us 240 Usf Coelhos I,COELHOS I,5.0,5.0,4.0,4.0,10.0,10.0,126.0,635.0,16.0,272.0,1.0,6.0,176.0,458.0
2679779,0000154806,2023.3,DS 7,Distrito Sanitário VII,Us 287 Usf Alto Jose do Pinho,ALTO JOSE DO PINHO III,7.0,7.0,5.0,5.0,8.0,8.0,107.0,624.0,28.0,191.0,5.0,12.0,109.0,361.0
0000825,0000152609,2023.3,DS 2,Distrito Sanitário II,Us 155 CS Prof Monteiro de Morais,BEBERIBE II,2.0,2.0,4.0,4.0,3.0,3.0,85.0,516.0,14.0,118.0,5.0,7.0,96.0,376.0
7946651,0002344122,2023.3,DS 2,Distrito Sanitário II,Us 401 Usf Upinha Dia Governador Eduardo Campos,EDUARDO CAMPOS IV,2.0,2.0,2.0,2.0,1.0,1.0,26.0,159.0,6.0,58.0,0.0,1.0,40.0,164.0
0022284,0000153745,2023.3,DS 3,Distrito Sanitário III,Us 249 Usf Santana,SANTANA,0.0,0.0,0.0,0.0,0.0,0.0,82.0,101.0,34.0,62.0,3.0,4.0,123.0,233.0
0022403,0000153966,2023.3,DS 5,Distrito Sanitário V,Us 238 Usf Iraque,IRAQUE 2 RUA DO RIO,6.0,6.0,6.0,6.0,8.0,8.0,102.0,542.0,11.0,170.0,7.0,11.0,141.0,446.0
3302008,0000155276,2023.3,DS 7,Distrito Sanitário VII,Us 305 Usf da Macaxeira,MACAXEIRA I CAMPO DO UNIAO,12.0,12.0,11.0,11.0,13.0,13.0,149.0,792.0,20.0,325.0,6.0,12.0,142.0,604.0
0028665,0000154563,2023.3,DS 1,Distrito Sanitário I,Us 278 Usf Nossa Sra do Pilar Bairro do Recife,PILAR,4.0,4.0,6.0,6.0,4.0,4.0,77.0,406.0,14.0,185.0,0.0,5.0,155.0,392.0
0022403,0001773682,2023.3,DS 5,Distrito Sanitário V,Us 238 Usf Iraque,SBM2 IRAQUE I RAQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0002127,0000153451,2023.3,DS 3,Distrito Sanitário III,Us 216 Usf Apipucos,APIPUCOS,8.0,8.0,7.0,7.0,10.0,10.0,119.0,737.0,133.0,311.0,5.0,12.0,179.0,498.0
0020567,0000153745,2023.3,DS 3,Distrito Sanitário III,Us 182 Upinha Usf Padre Jose Edwaldo Gomes,SANTANA,0.0,0.0,0.0,0.0,0.0,0.0,94.0,444.0,40.0,192.0,2.0,4.0,151.0,383.0
0024538,0000154172,2023.3,DS 4,Distrito Sanitário IV,Us 255 Usf Upinha 24h Vila Arraes,VILA ARRAES I,6.0,6.0,3.0,3.0,5.0,5.0,82.0,658.0,17.0,232.0,5.0,11.0,273.0,499.0
0022403,0000153974,2023.3,DS 5,Distrito Sanitário V,Us 238 Usf Iraque,IRAQUE I IRAQUE,4.0,4.0,7.0,7.0,9.0,9.0,138.0,560.0,40.0,210.0,5.0,8.0,104.0,408.0
0022411,0000153990,2023.3,DS 5,Distrito Sanitário V,Us 239 Usf Coqueiral I e II,COQUEIRAL I,4.0,4.0,2.0,2.0,7.0,7.0,6.0,619.0,3.0,150.0,4.0,13.0,151.0,418.0
0022276,0000153710,2023.3,DS 7,Distrito Sanitário VII,Us 231 Usf Corrego da Bica,CORREGO DA BICA I,1.0,1.0,1.0,1.0,4.0,4.0,98.0,453.0,24.0,167.0,2.0,4.0,86.0,279.0
0000965,0000152889,2023.3,DS 5,Distrito Sanitário V,Us 177 Usf Chico Mendes,XIMBORE,7.0,7.0,2.0,2.0,6.0,6.0,73.0,519.0,3.0,169.0,2.0,8.0,138.0,367.0
2752824,0000154881,2023.3,DS 8,Distrito Sanitário VIII,Us 289 Usf Josue de Castro,27 DE NOVEMBRO II,8.0,8.0,9.0,9.0,4.0,4.0,123.0,553.0,27.0,225.0,6.0,8.0,188.0,379.0
2752824,0000154865,2023.3,DS 8,Distrito Sanitário VIII,Us 289 Usf Josue de Castro,27 DE NOVEMBRO IV,5.0,5.0,6.0,6.0,5.0,5.0,55.0,574.0,53.0,216.0,2.0,6.0,178.0,403.0
3153460,0000155071,2023.3,DS 8,Distrito Sanitário VIII,Us 298 Usf Jordao Alto,JORDAO ALTO - 2,14.0,14.0,16.0,16.0,10.0,10.0,119.0,643.0,50.0,219.0,1.0,10.0,112.0,428.0
0022411,0000153982,2023.3,DS 5,Distrito Sanitário V,Us 239 Usf Coqueiral I e II,COQUEIRAL II,3.0,3.0,5.0,5.0,4.0,4.0,67.0,536.0,16.0,174.0,2.0,13.0,132.0,449.0
0022438,0000154008,2023.3,DS 5,Distrito Sanitário V,Us 245 Usf Planeta dos Macacos II,PLANETA DOS MACACOS II A,8.0,8.0,11.0,11.0,12.0,12.0,194.0,876.0,75.0,354.0,5.0,17.0,210.0,468.0
0022217,0000153583,2023.3,DS 1,Distrito Sanitário I,Us 242 Usf Santo Amaro I Sitio do Ceu,STO AMARO I-SITIO DO CEU EQ.II,8.0,8.0,11.0,11.0,4.0,4.0,230.0,565.0,46.0,216.0,6.0,11.0,89.0,481.0
7563736,0000155330,2023.3,DS 7,Distrito Sanitário VII,Us 397 Usf Upinha Dia Corrego do Euclides,CORREGO DO EUCLIDES III,4.0,4.0,5.0,5.0,8.0,8.0,93.0,541.0,18.0,210.0,2.0,11.0,158.0,466.0
0024503,0000154121,2024.1,DS 4,Distrito Sanitário IV,Us 252 Usf Engenho do Meio,ENGENHO DO MEIO EQUIPE I,4.0,4.0,3.0,3.0,6.0,6.0,243.0,924.0,61.0,353.0,2.0,9.0,128.0,393.0
0002062,0000153397,2023.3,DS 8,Distrito Sanitário VIII,Us 172 Usf Tres Carneiros,TRES CARNEIROS - EQUIPE 3,1.0,1.0,3.0,3.0,1.0,1.0,94.0,504.0,39.0,223.0,5.0,13.0,105.0,436.0
0024511,0000154164,2024.1,DS 4,Distrito Sanitário IV,Us 254 Usf Brasilit,BRASILIT I,12.0,12.0,11.0,11.0,13.0,13.0,69.0,473.0,17.0,191.0,4.0,7.0,134.0,322.0
0022209,0000153575,2023.3,DS 1,Distrito Sanitário I,Us 241 Usf Coelhos II,COELHOS II-CAIS JOSE MARIANO,5.0,5.0,4.0,4.0,12.0,12.0,118.0,861.0,31.0,305.0,2.0,9.0,143.0,618.0
0001244,0000153141,2023.3,DS 7,Distrito Sanitário VII,Us 175 Usf Dr Diogenes Cavalcanti,ALTO DA BRASILEIRA,7.0,7.0,11.0,11.0,7.0,7.0,155.0,621.0,33.0,220.0,6.0,7.0,202.0,465.0
0002062,0000153400,2023.3,DS 8,Distrito Sanitário VIII,Us 172 Usf Tres Carneiros,TRES CARNEIROS EQUIPE 1,4.0,4.0,3.0,3.0,10.0,10.0,141.0,569.0,28.0,230.0,6.0,15.0,128.0,445.0
0022454,0000154032,2023.3,DS 8,Distrito Sanitário VIII,Us 228 Usf Upinha Dia Des Jose Manoel de Freitas Ur 4ur 5,UR 04/05 II,5.0,5.0,5.0,5.0,4.0,4.0,93.0,639.0,46.0,249.0,5.0,10.0,107.0,297.0
0022454,0000154040,2023.3,DS 8,Distrito Sanitário VIII,Us 228 Usf Upinha Dia Des Jose Manoel de Freitas Ur 4ur 5,UR 04/05 III,8.0,8.0,16.0,16.0,15.0,15.0,101.0,571.0,39.0,230.0,3.0,9.0,126.0,360.0
0024503,0001975560,2023.3,DS 4,Distrito Sanitário IV,Us 252 Usf Engenho do Meio,SBM1 ENG DO MEIO EQP I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022470,0000154075,2023.3,DS 8,Distrito Sanitário VIII,Us 230 Usf Lagoa Encantada,ALTO ASA BRANCA - LAGOA ENC. I,2.0,2.0,4.0,4.0,3.0,3.0,82.0,578.0,22.0,185.0,2.0,8.0,136.0,409.0
0022225,0000153605,2023.3,DS 1,Distrito Sanitário I,Us 243 Usf Santo Amaro II,SANTO AMARO II - EQUIPE I,8.0,8.0,6.0,6.0,14.0,14.0,86.0,753.0,34.0,310.0,7.0,13.0,214.0,485.0
0022454,0002399261,2023.3,DS 8,Distrito Sanitário VIII,Us 228 Usf Upinha Dia Des Jose Manoel de Freitas Ur 4ur 5,UR 0405 VI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,2.0,8.0,0.0,0.0,5.0,21.0
0022470,0000154083,2023.3,DS 8,Distrito Sanitário VIII,Us 230 Usf Lagoa Encantada,LAGOA ENCANTADA EQ. 3,5.0,5.0,9.0,9.0,4.0,4.0,2.0,448.0,18.0,167.0,7.0,12.0,58.0,193.0
0026344,0000154296,2023.3,DS 5,Distrito Sanitário V,Us 266 Usf Mangueira II,MANGUEIRA B-II,2.0,2.0,4.0,4.0,4.0,4.0,175.0,838.0,53.0,297.0,2.0,11.0,164.0,552.0
3445275,0000155446,2023.3,DS 2,Distrito Sanitário II,Us 327 Usf Clube dos Delegados,CLUBE DOS DELEGADOS I,7.0,7.0,9.0,9.0,13.0,13.0,166.0,750.0,35.0,306.0,7.0,21.0,197.0,524.0
0024503,0000154148,2024.1,DS 4,Distrito Sanitário IV,Us 252 Usf Engenho do Meio,ENGENHO DO MEIO EQ. II,10.0,10.0,9.0,9.0,6.0,6.0,122.0,919.0,12.0,318.0,6.0,8.0,193.0,381.0
3371328,0000155314,2023.3,DS 5,Distrito Sanitário V,Us 323 Usf Mustardinha,MUSTARDINHA II,6.0,6.0,11.0,11.0,1.0,1.0,234.0,836.0,73.0,351.0,10.0,18.0,201.0,569.0
0022314,0000153826,2024.1,DS 4,Distrito Sanitário IV,Us 248 Usf Barreiras,BARREIRAS,8.0,8.0,11.0,11.0,12.0,12.0,80.0,857.0,24.0,278.0,2.0,12.0,137.0,326.0
0002135,0000153486,2023.3,DS 2,Distrito Sanitário II,Us 221 Usf Ilha de Joaneiro,ILHA DE JOANEIRO EQUIPE I,7.0,7.0,7.0,7.0,4.0,4.0,208.0,795.0,35.0,304.0,2.0,12.0,132.0,494.0
3567826,0000155594,2023.3,DS 2,Distrito Sanitário II,Us 328 Usf Alto do Maracana,ALTO DO MARACANA II,6.0,6.0,7.0,7.0,10.0,10.0,98.0,525.0,10.0,172.0,3.0,7.0,150.0,364.0
0002062,0002399229,2023.3,DS 8,Distrito Sanitário VIII,Us 172 Usf Tres Carneiros,TRES CARNEIROS IV,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,1.0,16.0,0.0,0.0,6.0,64.0
0022306,0000153788,2023.3,DS 4,Distrito Sanitário IV,Us 225 Usf Skylab II,SKYLAB II,0.0,0.0,3.0,3.0,4.0,4.0,96.0,652.0,9.0,179.0,1.0,5.0,94.0,393.0
0022381,0000153931,2023.3,DS 4,Distrito Sanitário IV,Us 247 Usf Rosa Selvagem,ROSA SELVAGEM I,5.0,5.0,5.0,5.0,3.0,3.0,38.0,277.0,1.0,72.0,3.0,7.0,144.0,353.0
0026387,0000154393,2023.3,DS 8,Distrito Sanitário VIII,Us 270 Usf Monte Verde,MONTE VERDE - 2,6.0,6.0,6.0,6.0,14.0,14.0,159.0,571.0,70.0,361.0,5.0,13.0,194.0,539.0
0022381,0000153958,2023.3,DS 4,Distrito Sanitário IV,Us 247 Usf Rosa Selvagem,ROSA SELVAGEM II,0.0,0.0,0.0,0.0,0.0,0.0,34.0,249.0,8.0,52.0,2.0,3.0,51.0,173.0
3569322,0000155632,2023.3,DS 8,Distrito Sanitário VIII,Us 313 Usf Tres Carneiros de Baixo Zumbi do Pacheco,TRES CARNEIROS B/Z.PACHECO - 2,0.0,0.0,0.0,0.0,2.0,2.0,34.0,313.0,1.0,114.0,3.0,8.0,37.0,215.0
9069569,0001833197,2023.3,DS 4,Distrito Sanitário IV,Us 442 Usf Upinha Dia Santa Luzia Emocy Krause,SBM1 CORDEIRO II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0001252,0001555553,2024.1,DS 1,Distrito Sanitário I,Us 218 Usf Coque,COQUE IV,3.0,3.0,1.0,1.0,11.0,11.0,3.0,359.0,3.0,164.0,5.0,10.0,66.0,141.0
0024538,0000154180,2024.1,DS 4,Distrito Sanitário IV,Us 255 Usf Upinha 24h Vila Arraes,VILA ARRAES II,5.0,5.0,5.0,5.0,3.0,3.0,176.0,894.0,49.0,368.0,8.0,18.0,303.0,606.0
5320380,0000155764,2024.1,DS 4,Distrito Sanitário IV,Us 337 Usf Sitio Wanderley,SITIO WANDERLEY I,2.0,2.0,1.0,1.0,5.0,5.0,128.0,564.0,28.0,233.0,1.0,8.0,180.0,404.0
5320380,0000155772,2024.1,DS 4,Distrito Sanitário IV,Us 337 Usf Sitio Wanderley,SITIO WANDERLEY II,8.0,8.0,1.0,1.0,11.0,11.0,83.0,644.0,23.0,236.0,2.0,8.0,146.0,372.0
0022454,0000154016,2023.3,DS 8,Distrito Sanitário VIII,Us 228 Usf Upinha Dia Des Jose Manoel de Freitas Ur 4ur 5,UR 04/05 - 1,5.0,5.0,4.0,4.0,8.0,8.0,132.0,581.0,70.0,221.0,6.0,8.0,110.0,363.0
0022314,0000153826,2023.3,DS 4,Distrito Sanitário IV,Us 248 Usf Barreiras,BARREIRAS,9.0,9.0,16.0,16.0,14.0,14.0,145.0,856.0,30.0,278.0,3.0,8.0,187.0,455.0
0022489,0000154113,2023.3,DS 8,Distrito Sanitário VIII,Us 250 Usf Ur12 Ur5 3 Etapa,UR 12/05 I,12.0,12.0,13.0,13.0,14.0,14.0,66.0,411.0,18.0,178.0,1.0,7.0,124.0,353.0
0029041,0000154636,2023.3,DS 8,Distrito Sanitário VIII,Us 281 Usf Vila dos Milagres,UR 1 - VILA,15.0,15.0,22.0,22.0,4.0,4.0,58.0,514.0,25.0,169.0,0.0,0.0,21.0,432.0
9890327,0001690698,2023.3,DS 8,Distrito Sanitário VIII,Us 314 Usf Rio da Prata,USF RIO DA PRATA,11.0,11.0,7.0,7.0,11.0,11.0,45.0,554.0,8.0,180.0,1.0,6.0,126.0,346.0
6362494,0000156035,2023.3,DS 8,Distrito Sanitário VIII,Us 351 Usf Paz e Amor,PAZ E AMOR - EQUIPE I,2.0,2.0,4.0,4.0,6.0,6.0,126.0,432.0,28.0,142.0,5.0,11.0,31.0,361.0
0024503,0000154148,2023.3,DS 4,Distrito Sanitário IV,Us 252 Usf Engenho do Meio,ENGENHO DO MEIO EQ. II,13.0,13.0,14.0,14.0,5.0,5.0,154.0,919.0,5.0,317.0,3.0,7.0,178.0,385.0
0024503,0000154121,2023.3,DS 4,Distrito Sanitário IV,Us 252 Usf Engenho do Meio,ENGENHO DO MEIO EQUIPE I,6.0,6.0,7.0,7.0,6.0,6.0,216.0,919.0,106.0,353.0,6.0,6.0,184.0,485.0
0024511,0000154164,2023.3,DS 4,Distrito Sanitário IV,Us 254 Usf Brasilit,BRASILIT I,2.0,2.0,4.0,4.0,6.0,6.0,103.0,472.0,28.0,190.0,1.0,8.0,131.0,308.0
